code,CF
404,00008010803
200,00031500945
200,00031730948
404,00033120437
200,00034670943
200,00038870945
200,00043820620
404,00046540860
200,00046840864
302,00050800523
404,00052090958
200,00052420866
200,00052840915
200,00053070918
404,00053710943
200,00053930384
200,00054410709
200,00054500707
200,00055450944
404,00055460943
200,00056590896
200,00056600943
200,00056650948
200,00056870942
200,00057170946
200,00058880865
200,00059460949
200,00060670700
200,00060680949
200,00060850906
200,00061330627
404,00062380944
200,00063150957
200,00063640684
404,00064230956
200,00064240310
200,00064560709
200,00065080707
200,00065400707
200,00065540569
200,00066290701
200,00067060947
200,00067190942
404,00067360941
200,00067470948
200,00067510701
200,00067530709
200,00067590703
404,00067610956
200,00067770941
200,00067840850
404,00068380955
200,00068560911
200,00068600956
200,00068900950
200,00068940881
200,00069210557
200,00069590941
200,00069670958
200,00069680940
200,00069690709
200,00069850949
404,00069960706
200,00070150701
000,00070170949
200,00070360706
200,00070400957
404,00070410956
200,00070460704
200,00070480959
404,00070490958
200,00070510953
200,00070680707
200,00070680947
200,00070840954
200,00070890959
200,00070950951
200,00071560700
200,00071720957
200,00071740955
200,00071770952
200,00072000953
404,00072010952
404,00072080955
404,00072260953
404,00072360050
200,00072510951
200,00072980956
200,00073460958
200,00073500951
200,00073530958
200,00073740953
404,00073870958
200,00073880957
200,00073930950
200,00074070525
200,00074160953
200,00074170952
200,00074180951
000,00074190950
200,00074260845
404,00074270620
200,00074320623
404,00074670951
200,00074690959
200,00074700956
200,00074760950
200,00075850909
404,00075910703
200,00076020627
404,00076610674
200,00077090520
200,00077420701
200,00077710952
200,00077720951
200,00077810935
404,00077920577
404,00078040573
404,00079450458
200,00079950564
200,00080070881
200,00080270838
404,00080280886
404,00080450562
200,00080490535
200,00080930563
404,00081030744
200,00081170086
200,00081870453
200,00082300575
000,00082310574
404,00082410812
404,00082520537
200,00082720574
200,00082800459
200,00082880956
200,00084540053
200,00084640838
200,00085160661
200,00085210896
200,00085240950
200,00085950053
200,00086020054
200,00086030053
200,00086470572
200,00086680253
200,00086720661
404,00087610457
200,00087640256
404,00087770459
404,00088020086
404,00088570569
200,00088870563
200,00088910575
200,00088940564
200,00089460083
200,00089510085
200,00089690556
404,00089700082
200,00090200536
200,00090290149
200,00090320938
404,00090570896
200,00090820143
200,00090830142
200,00090870148
404,00091090555
000,00091240697
200,00091740142
200,00091750141
200,00091850073
200,00091910646
200,00091920058
200,00092290550
404,00092580075
200,00092590140
200,00092610146
200,00092620145
200,00092630144
200,00092850577
200,00092880293
200,00093010668
200,00093580561
200,00093690071
200,00093700078
404,00093810141
200,00093840577
200,00094050903
404,00094090669
200,00094100575
404,00094130572
200,00094140571
200,00094240694
404,00094260890
200,00094410560
200,00094420668
200,00094910148
200,00095070256
200,00095110078
404,00095320073
200,00095370052
200,00095400933
200,00095450144
200,00095990644
404,00096090550
404,00096180070
200,00096420146
200,00096500574
200,00096510664
200,00096590070
200,00097020598
200,00097310577
000,00097320667
200,00097460521
200,00097580070
200,00097750145
200,00097760144
200,00097780142
200,00097960116
200,00098000698
404,00098460074
200,00098480080
200,00098670144
200,00098910664
404,00098990146
200,00099000143
404,00099010076
200,00099030140
200,00099190530
200,00099580144
404,00100080076
200,00100290451
200,00100490861
404,00100630573
200,00100690072
200,00100700574
404,00100750538
000,00101150076
200,00101160075
200,00101190072
404,00101220077
200,00101230076
404,00101410074
200,00101560118
200,00101620078
404,00101630077
404,00101810075
200,00101870079
404,00101880078
200,00102200078
200,00102420577
200,00102500527
200,00102530862
404,00102860079
200,00102900073
404,00103110573
200,00103270252
200,00103330072
404,00103340253
200,00103760534
200,00103870077
200,00103970521
200,00104240866
404,00104250600
200,00104330493
200,00104370143
200,00104380142
200,00104390141
404,00104390570
200,00104430145
200,00104440144
200,00104450143
200,00104650148
200,00104660147
200,00104700901
200,00105070148
200,00105180145
404,00105450076
000,00105700454
000,00105750145
200,00105770143
200,00105780142
200,00105820146
200,00106030836
404,00106170590
200,00106410426
200,00106510860
200,00106720428
200,00106930076
200,00106960073
404,00107080863
200,00107730079
000,00107990574
200,00108010117
200,00108030776
200,00108070798
404,00108130071
200,00108190141
200,00108260076
200,00108300575
404,00108310574
200,00108350570
200,00108510074
200,00108690074
200,00108690470
200,00108820572
200,00108830571
200,00108930579
200,00108980830
200,00109080077
404,00109090571
404,00109190579
200,00109320572
404,00109350579
200,00109370148
200,00109380147
200,00109390146
200,00109440578
404,00109490573
200,00109530576
200,00109550574
200,00109670141
200,00109690149
200,00109710079
200,00109830570
200,00109960112
200,00109970574
200,00110270576
000,00110300571
200,00110340148
200,00110350071
200,00110390226
404,00110400694
200,00110480571
200,00110740826
200,00110800901
200,00110940145
200,00110950144
200,00110960143
200,00111020145
404,00111040572
200,00111050142
200,00111140901
404,00111190575
200,00111210779
200,00111240578
404,00111600144
404,00111620142
200,00111990321
200,00112580535
404,00113040570
200,00113090427
200,00113100572
200,00113110571
404,00113130579
404,00113140578
404,00113150577
200,00113230627
200,00113280572
200,00113390389
200,00113390579
200,00113410575
200,00113430573
200,00113470579
404,00113520571
404,00113650576
000,00113670574
200,00113780571
404,00114000573
200,00114250145
200,00114280142
200,00114430143
404,00114480866
200,00114600422
200,00114630528
200,00114700149
404,00114930670
200,00114980147
200,00115020117
200,00115070336
200,00115150146
200,00115160145
200,00115260143
200,00115270142
200,00115280141
200,00115780140
200,00115790149
200,00116170192
200,00116340142
404,00116460072
200,00116600438
200,00117100537
000,00117110536
200,00117250530
000,00117330530
404,00117340539
404,00117380733
200,00117640532
200,00117770776
200,00117980623
200,00118050111
200,00118430644
200,00118800499
404,00118860592
200,00118940147
200,00118960145
200,00119080562
